negword,score
空洞,3
婆婆媽媽,3
濫竽充數,7
獵取,1
蠻橫,5
擅自,1
拈輕怕重,3
漠然,3
怨尤,5
暴烈,5
招搖,7
千篇一律,5
驕矜,7
求全責備,3
勢利,7
挑剔,5
偷懶,3
畏葸不前,5
無稽之談,7
無中生有,5
犯疑心病,1
葉公好龍,7
變節,5
滅絕人性,9
奸險,9
猥劣,7
奸詐,9
詭詐,7
澆薄,7
虛驕,7
不自量力,5
老氣橫秋,5
狂氣,5
剛愎,5
小心眼,7
陋習,9
陽奉陰違,5
隨風倒,5
自私自利,7
鄙俗,5
蠻不講理,7
輕率,5
愚魯,7
搖頭擺尾,3
蠢笨,7
愚頑,5
儇薄,5
水性楊花,7
貪嘴,3
愚直,5
怪誕,3
浮皮潦草,5
毛手毛腳,5
食言,5
鬼祟,7
出圈兒,5
奴顏媚骨,7
欺哄,3
耍滑,3
耍賴,5
恣意妄爲,7
閒散,1
兔死狗烹,7
蠻勇,3
自戀,3
有勇無謀,5
不識人間有羞恥事,7
辱門敗戶,7
慢騰騰,3
人心似鐵,7
盲用,1
慢慢吞吞,3
孤行己見,5
強橫霸道,7
蕭規曹隨,5
左右袒,3
乾巴,3
化公爲私,7
權慾薰心,7
猥鄙,9
膏粱子弟,7
淫穢,7
豔情,5
口角,3
冷酷無情,5
有理無情,5
耍滑頭,1
身單力薄,3
錯誤百出,5
生吞活剝,5
臭名昭著,7
言之無物,3
傲物,5
擺款兒,1
板蕩,7
暴政,5
兵痞,7
財迷,3
向着,5
心血來潮,3
享樂,3
草寇,5
插足,3
讒佞,7
倀鬼,7
吵人,5
塵囂,3
稱霸,5
吃心,3
齒冷,5
忡忡,5
醜事,5
憷頭,3
吹擂,5
蠢話,5
刺兒話,3
竄犯,5
篡位,7
錯會,3
呆子,3
刀俎,5
盜匪,5
盜用,5
敵特,5
顛沛,3
丟份,3
毒販,5
賭棍,5
惡疾,5
惡性,5
貳臣,3
法盲,5
反側,3
飯桶,7
放刁,5
非人,9
匪禍,5
分贓,5
奉迎,3
浮誇,3
負隅,3
官僚,5
慣賊,5
鬼子,7
國恥,9
過頭,3
黑金,3
後門,1
幻滅,5
謊話,3
毀約,1
穢行,5
混賬,5
擠佔,3
假手,3
進犯,3
拘牽,1
懶怠,7
空論,3
寬縱,1
撈摸,5
勒抑,5
冷遇,3
斂財,5
凌夷,3
流氣,5
露醜,5
亂民,3
淪喪,5
落套,1
埋汰,3
毛子,3
沒樣兒,1
媚外,5
密謀,5
冥頑,5
磨煩,3
呶呶,3
鬧架,3
鬧災,5
齧噬,7
奴化,5
毆打,7
攀誣,5
旁騖,3
皮囊,3
偏差,3
剽取,5
歧途,5
起鬨,5
前愆,3
槍替,5
搶劫,5
竊奪,5
侵襲,5
傾軋,5
求全,1
取鬧,5
缺點,9
饒舌,3
認頭,3
辱命,3
殺機,5
蛇頭,5
生事,3
失範,3
失算,5
手黑,7
受制,5
衰頹,5
搜刮,5
損傷,5
貪賄,5
逃兵,5
體罰,5
偷盜,7
透頂,7
蛻化,3
歪理,5
頑梗,5
妄人,5
威脅,5
違紀,5
窩主,7
蕪雜,5
嬉皮士,3
瞎扯,5
嫌忌,5
險阻,5
蕭索,5
邪魔,5
泄密,5
兇犯,5
兇殺,5
熊包,5
虛話,5
虛妄,5
眩惑,5
壓制,7
掩飾,5
妖風,5
窯子,5
一窩蜂,3
疑忌,5
異端,5
陰溼,3
淫畫,5
引誘,5
庸才,5
誘脅,5
迂氣,5
愚民,5
鬱然,5
冤孽,5
怨仇,5
怨懣,5
雜念,3
災禍,5
偏袒,5
撥弄,5
光棍,7
不足掛齒,3
懶散,5
虛僞,9
遺臭萬年,9
壞事,7
得過且過,5
贅疣,9
擺佈,7
打掩護,3
尸位素餐,7
漠不關心,3
有頭無尾,7
妖媚,5
碌碌,7
不周,3
鼠輩,9
幼稚,7
杞人憂天,3
平庸,3
無所事事,7
驢脣不對馬嘴,7
私自,3
百孔千瘡,5
疏忽,3
老調,3
放火,5
蠢動,9
天翻地覆,7
煩擾,9
禍胎,9
心虛,1
馬大哈,3
虛度,5
幌子,5
丟臉,5
畜生,9
赤裸裸,3
狂暴,7
說嘴,5
侈談,5
紛亂,5
柺子,5
軟弱,5
莫須有,7
沉痼,5
拘泥,3
空想,7
見不得人,9
半半拉拉,5
岔子,5
擡槓,5
抽風,5
慘絕人寰,5
瞎說,7
急轉直下,5
荒廢,5
凌虐,5
背時,5
栽贓,7
髒污,5
噪聒,5
責罰,5
賊贓,7
肢解,5
滯銷,5
周折,5
裝糊塗,5
捉弄,5
滋事,5
走內線,5
嘴長,5
罪孽,9
作死,9
坐誤,7
愛搭不理,5
板板六十四,5
背地裏,5
秉性剌戾,9
唯命是從,7
不到黃河心不死,5
不對茬兒,5
不敬,7
手無縛雞之力,9
體力不支,7
私下,7
鬆散散,7
太隨便,9
蛻化變質,9
唯我獨尊,9
無價值,5
無吸引力,5
險象環生,7
不名一文,5
不清不楚,5
不妥,5
不宜,3
慘無人道,9
岌岌不可終日,7
罪惡深重,9
朝不慮夕,5
吃不開,7
臭氣沖天,9
大錯而特錯,9
呆鈍,5
道德敗壞,9
低人一等,7
刁惡,7
短視,7
繁複,5
廢舊,1
腐朽沒落,9
疙裏疙瘩,5
孤孤單單,7
寡了叭嘰,7
怪裏怪氣,7
含糊其詞,5
毫無價值,9
黑燈瞎火,5
黑黢黢,5
糊糊塗塗,3
荒誕無稽,9
荒瘠,7
灰頭灰臉,7
炙手可熱,7
婚外,5
不待見,5
猜疑,5
千里饋糧,7
打罵,5
堵得慌,7
發怔,3
煩厭,7
駭然失色,9
後悔莫及,9
悔不該,7
急眼,5
看扁,5
哭喪着臉,5
罵罵咧咧,5
柔腸百結,5
說風涼話,5
敬賀,5
小裏小氣,5
奸惡,9
見識短淺,5
狡計多端,7
劇毒,7
狂傲,7
狼籍,7
老派,5
冷峻,5
離心離德,7
哩溜歪斜,5
了不得,7
令人睏倦,5
令人生氣,5
亂虐並生,9
亂蓬蓬,5
賣不掉,5
貓哭老鼠,9
沒好氣,5
沒輕沒重,5
沒用,5
綿裏藏針,7
目光兇狠,5
難說話,3
一無所長,9
質量差,5
擁擠不堪,7
鬧嚷嚷,5
盤根錯節,5
七零八落,7
囚首垢面,9
缺心眼,7
騷亂性,5
傻頭傻腦,5
十惡不赦,9
自命清高,9
未成熟,5
性情急躁,9
有毒,5
有失身分,5
羽毛未豐,5
災難性,9
矮子看戲,5
破家危國,9
誤國殄民,9
大權旁落,7
鬨笑,5
彈冠相慶,7
又紅又專,5
嬌養,5
民怨沸騰,9
耍態度,5
髀肉復生,5
縮頭縮尾,3
陰森,3
殘暴,9
猖狂,7
臭味相投,5
狗腿子,7
黑心腸,7
倒行逆施,9
惡霸,7
誹謗,7
狂妄,7
老奸巨滑,9
掠奪,7
嫌惡,7
該死,7
惡毒,7
欺世盜名,5
敲詐勒索,7
罄竹難書,9
看不慣,1
蔑視,7
頑抗,3
惟利是圖,5
烏煙瘴氣,3
陰險,9
衆叛親離,9
罪在不赦,9
唾棄,7
邪行,1
慘毒,7
可笑,1
矇騙,5
輕侮,5
記恨,3
叫化子過癮－討厭,3
剝皮抽筋,9
人言嘖嘖,5
不值一錢,7
言者諄諄，聽者藐藐,5
夜叉,5
姦婦,7
反脣相譏,3
壞蛋,7
蛇蠍,7
禍水,7
賤貨,9
訾議,5
矮子,3
敗家,5
窩心,5
無聊,3
沒精打採,3
心浮,1
無所適從,3
無病自灸,3
不死不活,5
問心有愧,5
虧心,5
既有今日，何必當初,7
着慌,3
手忙腳亂,9
倉卒從事,5
臨陣磨槍,3
謗毀,5
半途而廢,5
弊病,7
草率,5
遲鈍,5
居心不良,7
苛求,3
昏天暗地,5
日月無光,9
人人得而誅之,9
大材小用,5
竊據要津,5
瞞天昧地,7
欺人以方,5
貪財好賄,7
擅自爲謀,7
植黨營私,7
草間求活,5
墨跡未乾,5
肥馬輕裘,3
錦衣玉食,5
鐘鳴鼎食,7
畫餅充飢,3
脆而不堅,5
生靈塗炭,9
以管窺天,5
多此一舉,3
顛來倒去,3
再三再四,5
風流罪過,5
不見經傳,1
看人行事,3
以水救水,5
本性難移,5
魚龍曼衍,5
一誤再誤,7
論甘忌辛,5
舞文弄墨,5
蹈人舊轍,5
泥古非今,5
千頭百緒,7
一塌胡塗,7
長他人志氣，滅自己威風,3
酒色財氣,5
窯宅之所,3
二豎之頑,5
臭不可當,9
出言無狀,7
欺人之談,5
語無倫次,5
浮語虛詞,5
誇大其詞,5
貧嘴賤舌,5
呶呶不休,5
按圖所駿,3
狗血噴頭,7
隱約其辭,3
貴耳賤目,3
今朝有酒今朝醉,3
人多勢衆,3
倚酒三分醉,3
不勞而獲,5
悠悠盪盪,3
一傅衆修,3
洪水猛獸,7
三災八難,5
吮癰舐痔,7
飛言醋語,3
吳市吹簫,3
調三窩四,5
俾晝作夜,5
貪財戀色,7
豺虎肆虐,7
桀驁不馴,5
悖入悖出,5
腥風血雨,7
誅鋤異己,7
闇弱無斷,5
當斷不斷,5
狐埋狐搰,5
築室道謀,3
奴顏婢睞,7
降心相從,3
隨聲是非,3
寸量銖稱,5
動輒得咎,5
逃之夭夭,5
虛張聲勢,5
素口罵人,5
推波作浪,5
耳視目食,5
以白爲黑,7
勢不俱棲,5
心腹之患,5
束手就擒,5
矯枉過正,5
自相水火,7
望文生義,5
冒名頂替,5
柔茹剛吐,5
肆意妄爲,7
鳩佔鵲巢,7
不今不古,3
袍笏登場,5
鑽故紙堆,3
拉拉扯扯,3
惹禍招災,5
招是惹非,5
軒然大波,7
春蠶自縛,5
孤行幾見,5
敷衍了事,5
以身試法,5
陶陶兀兀,5
曉風殘月,3
打落水狗,7
索垢尋疵,7
舉鼎絕臏,5
惺惺作態,7
官逼民反,7
博而不精,3
蟪蛄不知春秋,5
吳下阿蒙,5
夏蟲不可以語冰,5
操刀傷錦,5
志大才疏,5
土牛石田,5
賊人膽虛,5
可同患，難處安,5
好戴高帽,5
蹉跎自誤,5
披頭散髮,5
寶山空回,5
時乖命蹇,7
短針攻疽,3
殘兵敗將,5
棄甲丟盔,3
一敗如水,7
碌碌無能,5
一無可取,7
東遊西蕩,3
不齒於人,5
狼奔豕突,7
助桀爲虐,9
偷雞摸狗,7
一口吸盡西江水,5
負薪救火,5
適得其反,3
換湯不換藥,5
笨口拙舌,3
一竅不通,5
暗送秋波,5
望風承旨,5
披枷帶鎖,5
不知好歹,5
黎丘丈人,3
投機取巧,5
開門揖盜,7
引鬼上門,7
因循坐誤,5
天壤王朗,1
水至清則無魚,1
金屋藏嬌,3
懸駝就石,3
血流成河,5
尋章摘句,3
廢話連篇,5
眉來眼去,3
滿城風雨,5
口不應心,5
以規爲瑱,3
雕蟲小技,5
昂頭天外,5
伐功矜能,5
倔強倨傲,5
自恃其才,5
貪名逐利,7
規求無度,5
貪而無信,7
雁過拔毛,7
我靠,5
B4,7
歇菜,3
無語,5
kao,5
gun,5
故步自封,5
花天酒地,7
混淆是非,5
吹噓,3
得隴望蜀,5
煩瑣,3
恐嚇,5
神經兮兮,3
多有微詞,3
勞民傷財,7
自鳴得意,5
謾罵,5
矇蔽,1
謬論,5
捏造,3
冷若冰霜,1
兇狠,5
兇暴,7
片面,5
欺騙,3
黔驢技窮,5
巧言令色,5
自負,7
辱罵,5
好色,7
戰爭販子,3
虛榮,7
貪婪,7
怨天尤人,5
挑撥,5
拖拉,3
文抄公,5
武斷,5
嫌疑犯,1
一毛不拔,7
迂腐,7
趾高氣揚,5
失節,5
歹毒,9
鬼蜮,7
不端,5
奸猾,7
權詐,7
缺德,7
怯弱,5
高慢,7
翹尾巴,5
好爲人師,5
褊急,3
一把死拿,5
小氣,7
劣根性,7
不公,3
隔岸觀火,7
板滯,3
粗鄙,7
橫行霸道,7
掉書袋,3
魯莽,5
粗笨,5
魯莽滅裂,7
左顧右盼,1
拙笨,5
佻達,5
放蕩,5
粗心,3
單調,3
丟三落四,5
鬆懈,3
背信,7
偷偷摸摸,5
諂媚,7
姑息養奸,7
蒙哄,3
耍奸,5
撒潑,7
仗勢欺人,7
脅迫,5
無能,5
無情無義,7
厚顏,5
私利,5
不可救藥,5
光禿禿,1
一失足成千古恨,5
渺小,1
紊亂,3
置身事外,5
坐視不救,5
慢吞吞,3
滯後,1
大權獨攬,5
蠻橫無理,7
步人後塵,5
偏聽偏信,3
焦枯,3
老牛破車,3
譏誚,5
唯利是圖,7
垂涎欲滴,7
貪天之功,7
奸人,7
紈絝子弟,7
淫猥,7
黃色,7
吵嘴,5
過河拆橋,5
掩人耳目,3
耍花槍,3
戴高帽子,5
斷章取義,5
不足爲憑,3
過激,7
瞎子摸象,5
大錯特錯,9
說不過去,3
一成不變,3
聲名狼藉,5
不堪入耳,7
聽風是雨,3
虛假,3
假大空,9
次等,1
膚泛,3
礙事,3
八股,3
白癡,7
擺普兒,3
半瘋兒,1
卑微,1
秕糠,1
駁雜,1
殘貨,3
護短,3
揚揚得意,1
策動,5
讒言,5
娼婦,7
吵子,3
稱臣,1
吃嘴,3
奢靡,7
重沓,3
斥罵,3
醜史,5
穿窬,5
舛訛,3
吹牛,3
蠢貨,7
刺兒頭,3
竄改,3
催逼,3
錯漏,3
叨叨,3
盜劫,5
盜賊,5
敵僞,5
玷辱,5
掉隊,3
毒犯,5
獨霸,5
賭錢,3
訛賴,5
惡浪,7
惡意,7
發癡,3
翻版,1
反目,3
犯忌,5
販毒,5
放毒,5
非難,5
匪首,7
紛擾,5
拂逆,3
浮禮,1
負約,3
杆子,3
攻訐,3
沽名,7
拐帶,5
官迷,5
慣縱,5
滾蛋,5
國賊,9
豪紳,1
黑幕,3
橫禍,5
後臺,5
虎視,5
豢養,5
賄賂,3
昏君,7
積弊,7
假造,3
奸賊,7
交惡,5
教唆,3
局騙,3
拉雜,3
剋扣,3
空疏,3
酷烈,7
狂躁,3
撈取,5
勒詐,7
離間,7
凌雜,3
流俗,3
壟斷,5
淪亡,7
買通,7
蟊賊,5
沒治,3
矇事,5
滅跡,5
繆錯,3
牟利,3
謀私,5
拿喬,5
鬧劇,3
孽根,7
奴性,5
扒竊,7
叛變,7
拋費,3
蓬亂,1
皮相,3
偏廢,3
剽襲,5
破產,3
騎牆,5
戕害,7
搶掠,5
竊國,9
窮寇,1
曲解,5
取巧,5
缺失,3
擾民,3
任情,1
入寇,3
